id,text
EDI/API,"Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-E, while TOS computed local UTC+8. Container HLCU5962669 milestones appeared out-of-order on the portal; EDIFACT CODECO 'Gate Out' overshadowed later 'Loaded' event. Booking BK-O6Q9TJZ7 not impacted operationally but customer view inconsistent. Context tokens: SETTINGS, VOYAGE. All numeric identifiers are randomized placeholders; no credentials stored. | Normalized eventTime to port timezone and added ingestion check to convert to UTC then localize. Re-sequenced milestones and republished to API/portal. Enabled alert on cross-system timestamp divergence > 30 minutes. Communications used masked ticket references where applicable. | Normalized eventTime to port timezone and added ingestion check to convert to UTC then localize. Re-sequenced milestones and republished to API/portal. Enabled alert on cross-system timestamp divergence > 30 minutes. Communications used masked ticket references where applicable."
EDI/API,Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic. Partner Partner-B reported delayed acknowledgements; PSA Tanjong Pagar ops not impacted. All numeric identifiers are randomized placeholders; no credentials stored. | Corrected cron schedule to UTC; added mutual exclusion lock and run-idempotency; published sanitized incident note and fixed dashboards. Communications used masked ticket references where applicable. | Corrected cron schedule to UTC; added mutual exclusion lock and run-idempotency; published sanitized incident note and fixed dashboards. Communications used masked ticket references where applicable.
Vessel,"ANSI X12 301 inconsistency for MV SILVER CURRENT/43C: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable."
EDI/API,"EDIFACT CODECO duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. All numeric identifiers are randomized placeholders; no credentials stored. | Added de-duplication keyed by (controlNumber, docType, equipmentId, eventType); instated rule to discard stale duplicates; replayed healthy messages. Communications used masked ticket references where applicable. | Added de-duplication keyed by (controlNumber, docType, equipmentId, eventType); instated rule to discard stale duplicates; replayed healthy messages. Communications used masked ticket references where applicable."
Container Report,"Customs flag toggled incorrectly for EMCU1669540, causing manual hold. Downstream feeds showed 'Hold' while TOS remained 'Available' at PSA Keppel. | Manual verification per CNTR-07 (Yard Location/Block Correction). Corrected seal entry; routed doubtful OCR reads to manual validation for 24h; retrained OCR with low-light samples; issued ops bulletin. | Manual verification per CNTR-07 (Yard Location/Block Correction). Corrected seal entry; routed doubtful OCR reads to manual validation for 24h; retrained OCR with low-light samples; issued ops bulletin."
Vessel,"Schedule API intermittently returns 401 for MV STELLAR WIND/43C; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Tuas Port. All numeric identifiers are randomized placeholders; no credentials stored. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable. | Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable."
EDI/API,"Field mapping mismatch across systems for container ONEU7200552. Partner Partner-E posted EDIFACT COPRAR with size/type as 22G1, but our master lists 45R1. Public API reflected partner payload, breaking yard slotting at PSA Tanjong Pagar. Booking BK-7MROC25B shows reefer flag OFF while TOS maintains ON. Audit indicates stale backfill job re-applied older attributes. Context tokens: LIVE. All numeric identifiers are randomized placeholders; no credentials stored. | Set precedence to TOS for equipment attributes; forced cache purge and re-index. Backfilled corrected attributes, then locked fields for 6h to prevent drift. Added rule to reject backdated EDI updates if newer move exists within 120 minutes. Communications used masked ticket references where applicable. | Set precedence to TOS for equipment attributes; forced cache purge and re-index. Backfilled corrected attributes, then locked fields for 6h to prevent drift. Added rule to reject backdated EDI updates if newer move exists within 120 minutes. Communications used masked ticket references where applicable."
EDI/API,ANSI X12 315 duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. All numeric identifiers are randomized placeholders; no credentials stored. | Escalate to EDIAPI Product Team | Escalate to EDIAPI Product Team
Container Booking,"Discrepancy between customer portal and TOS for container MAEU0713758 on voyage RT33. Portal shows 'Loaded @ TU13' while TOS indicates 'In Yard - Block A1'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-QCLPOXKO and seal S6321-G8Q included (randomized placeholders). Yard crane QC07 handled the last move at PSA Pasir Panjang. | Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference. | Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference."
Vessel,"ETA/ETB mismatch for MV PACIFIC GLORY (IMO 6309714, CS-7KZV3) on voyage 002E. Berth plan shows ETB at BP01 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Keppel reflects older figures. Pilotage request pending; quay Q3 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable."
EDI/API,OAuth token rejection spikes on '/bookings/v1'. Clock skew across nodes yielded 401/403 bursts; clients observed partial responses before circuit opened. All numeric identifiers are randomized placeholders; no credentials stored. | Escalate to EDIAPI Product Team | Escalate to EDIAPI Product Team
EDI/API,Shipper/consignee role swap observed on API payload for HLCU4722541. Upstream denormalization reversed NAD qualifiers; billing prep failed validation. Partner: Partner-D; affected terminal: Tuas Port. All numeric identifiers are randomized placeholders; no credentials stored. | Normalized eventTime to port timezone and added ingestion check to convert to UTC then localize. Re-sequenced milestones and republished to API/portal. Enabled alert on cross-system timestamp divergence > 30 minutes. Communications used masked ticket references where applicable. | Normalized eventTime to port timezone and added ingestion check to convert to UTC then localize. Re-sequenced milestones and republished to API/portal. Enabled alert on cross-system timestamp divergence > 30 minutes. Communications used masked ticket references where applicable.
EDI/API,Intermittent 429 on '/manifest/validate' during webhook deliveries to Partner-E. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Pasir Panjang Terminal 2 ops unaffected but visibility degraded. Context tokens: ESI. All numeric identifiers are randomized placeholders; no credentials stored. | Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable. | Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable.
Vessel,"EDIFACT COARRI inconsistency for MV TITAN CREST/211S: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable."
EDI/API,"Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-A, while TOS computed local UTC+8. Container MAEU2870491 milestones appeared out-of-order on the portal; ANSI X12 315 'Gate Out' overshadowed later 'Loaded' event. Booking BK-NX54HKNI not impacted operationally but customer view inconsistent. Context tokens: XSIE. All numeric identifiers are randomized placeholders; no credentials stored. | Set precedence to TOS for equipment attributes; forced cache purge and re-index. Backfilled corrected attributes, then locked fields for 6h to prevent drift. Added rule to reject backdated EDI updates if newer move exists within 120 minutes. Communications used masked ticket references where applicable. | Set precedence to TOS for equipment attributes; forced cache purge and re-index. Backfilled corrected attributes, then locked fields for 6h to prevent drift. Added rule to reject backdated EDI updates if newer move exists within 120 minutes. Communications used masked ticket references where applicable."
EDI/API,ANSI X12 301 duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: COARRI. All numeric identifiers are randomized placeholders; no credentials stored. | Enabled conflict resolution preferring max(eventTime); patched translator for partner-specific tolerance; reprocessed from quarantine; verified pipeline end-to-end. Communications used masked ticket references where applicable. | Enabled conflict resolution preferring max(eventTime); patched translator for partner-specific tolerance; reprocessed from quarantine; verified pipeline end-to-end. Communications used masked ticket references where applicable.
Vessel,"ETA/ETB mismatch for MV PACIFIC GLORY (IMO 1365531, CS-G5XCI) on voyage 88D. Berth plan shows ETB at BP07 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Pasir Panjang reflects older figures. Pilotage request pending; quay Q1 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable."
Vessel,"ETA/ETB mismatch for MV PACIFIC GLORY (IMO 9137834, CS-PX8FO) on voyage 7A. Berth plan shows ETB at BP03 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Pasir Panjang Terminal 2 reflects older figures. Pilotage request pending; quay Q2 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable. | Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable."
Container Report,"The OCR system failed to capture the correct container ID due to misread data, resulting in a lane hold that delayed dispatch. Manual inspection revealed discrepancies in the seal data as well. | Corrected the seal entry in the system; routed suspicious OCR reads to manual validation for 24 hours. The OCR system was retrained using low-light sample data to improve its accuracy. An operational bulletin was issued to inform relevant teams about the update. | Corrected the seal entry in the system; routed suspicious OCR reads to manual validation for 24 hours. The OCR system was retrained using low-light sample data to improve its accuracy. An operational bulletin was issued to inform relevant teams about the update."
Vessel,"ANSI X12 315 inconsistency for MV STELLAR WIND/25W: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable. | Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable."
Container Booking,Weight and size attributes for NYKU6346579 do not align with manifest data. OMS lists 22G1 whereas the EDI intake translated to 45R1—slot planning at PSA Tanjong Pagar misallocated. Voyage LZ03; last known location Block B3. Suspect duplicate CODECO from yesterday caused field overwrite. | Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference. | Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.
Container Report,429 responses and timeouts on '/containers/status' when querying HLCU0393719. slowest 5% of requests latency > 10s; retries exhausted—gaps visible in customer timeline. Coincides with partner load test near PSA Keppel. | Introduced token-leeway (+60s); purged problematic cache entries; rebuilt hot keys. Shaped traffic during partner tests and published sanitized RCA. | Introduced token-leeway (+60s); purged problematic cache entries; rebuilt hot keys. Shaped traffic during partner tests and published sanitized RCA.
Container Report,Callback delivery failures for HLCU9345212. Webhook sender faced 403 due to peer TLS renegotiation. Queue grew and breaker opened. Affected endpoint '/auth/token'. | Introduced token-leeway (+60s); purged problematic cache entries; rebuilt hot keys. Shaped traffic during partner tests and published sanitized RCA. | Introduced token-leeway (+60s); purged problematic cache entries; rebuilt hot keys. Shaped traffic during partner tests and published sanitized RCA.
